item,Phon,LDTrt,LDTpe,NMGrt,PDMrt,FLPrt,freqfilms,freqbooks,Nlett,Nphon,OLD20,PLD20,AoA,Freqsubj,IMA
frise,fRiz,851.5,0.46,436.4,1229.9,726.6,1.03,4.19,5,4,1.1,1,7.4,3.0,4.4
frite,fRit,747.6,0.17,434.8,1248.5,619.2,1.17,1.08,5,4,1.35,1,5.1,3.8,6.7
froid,fRwa,576.7,0.03,430.2,1059.5,577.4,127.16,166.82,5,4,1.85,1.35,4.3,5.2,4.7
front,fR§,609.8,0.03,414.3,1114.1,583.5,38.81,152.57,5,3,1.8,1,5.1,4.8,6.0
frousse,fRus,724.3,0.17,441.0,1270.7,692.3,2.9,2.16,7,4,1.75,1.8,8.5,4.1,3.4
fruit,fR8i,616.0,0.06,432.9,1120.1,603.2,15.99,21.96,5,4,1.7,1.8,7.1,4.4,6.5
fugue,fyg,752.7,0.26,425.5,1216.3,710.6,3.87,5.75,5,3,1.7,1.25,10.4,4.3,3.5
fuir,f8iR,661.4,0.17,424.8,1228.3,640.1,30.95,35.88,4,4,1.65,1.25,7.9,3.8,3.6
fuite,f8it,671.1,0.06,455.2,1299.9,640.6,26.02,31.82,5,4,1.55,1.55,7.6,3.9,3.4
fût,fy,710.7,0.06,451.3,1181.6,686.0,9.29,169.45,3,2,1.4,1,10.7,4.1,2.5
gag,gag,674.4,0.25,478.2,1111.0,686.7,2.41,1.08,3,3,1.3,1,8.8,3.6,3.9
gage,gaZ,751.7,0.17,521.8,1193.3,754.7,10.09,4.59,4,3,1,1,7.8,3.2,3.1
gai,gE,750.3,0.13,458.4,1117.8,674.6,10.74,22.64,3,2,1,1,7.8,4.0,4.0
gain,g5,587.5,0.06,481.7,1134.5,667.4,2.58,4.32,4,2,1,1,9.8,4.0,4.1
gaine,gEn,744.6,0.21,490.8,1251.0,698.6,1.16,3.11,5,3,1.05,1,11.0,2.9,4.0
gamme,gam,637.7,0.06,491.1,1263.5,632.5,2.67,5.74,5,3,1.6,1,9.3,3.9,2.9
gang,g@g,715.6,0.09,508.3,1186.5,682.0,12.44,3.04,4,3,1.5,1.25,11.4,3.4,4.5
gant,g@,674.0,0.21,478.2,1178.9,774.3,9.86,7.97,4,2,1.55,1,5.4,3.5,6.5
garde,gaRd,650.3,0.13,471.1,1091.1,744.1,170.48,127.56,5,4,1.05,1,6.9,4.5,3.9
gare,gaR,601.8,0.06,NA,1148.6,625.5,58.19,84.19,4,3,1,1,6.6,4.8,6.6
gauche,goS,579.1,0.06,468.9,1215.9,621.0,117.17,221.82,6,3,1.7,1.4,5.6,6.0,4.5
gaufre,gofR,748.1,0.40,505.7,1331.9,NA,0.59,0.82,6,4,1.85,1.9,6.2,3.5,6.5
gaz,gaz,588.4,0.00,452.3,993.9,586.8,36.33,28.65,3,3,1.55,1,7.7,4.0,4.1
gel,ZEl,631.2,0.00,477.1,1051.2,626.5,4.61,6.22,3,3,1.65,1,7.7,4.4,5.8
gendre,Z@dR,769.4,0.35,534.2,1329.5,748.7,5.71,7.5,6,4,1.55,1.55,10.4,3.7,4.3
gène,ZEn,722.5,0.17,477.9,1145.8,651.5,4.18,0.2,4,3,1.55,1,11.4,4.4,3.3
gêne,ZEn,650.4,0.06,528.5,1106.5,645.2,32.21,40.95,4,3,1.5,1,9.8,4.3,3.1
genre,Z@R,650.4,0.03,480.9,1142.1,577.5,219.66,155.2,5,3,1.85,1.5,8.6,5.4,2.6
gens,Z@,598.2,0.09,511.9,1102.2,633.5,594.29,409.39,4,2,1.45,1,5.8,5.8,5.2
gerbe,ZERb,764.3,0.17,513.4,1240.8,748.4,2.08,7.03,5,4,1.5,1.45,11.0,3.5,4.2
germe,ZERm,737.3,0.00,476.7,1220.3,663.7,0.67,2.64,5,4,1.3,1.25,10.7,3.2,4.2
geste,ZEst,589.3,0.00,486.4,1113.2,606.4,31.41,172.03,5,4,1.5,1.4,7.0,5.1,4.1
